provision,test scenario,answer,result
5.5-7,可以使用加密的通訊通道或有效負載加密來實現機密性保護。注意：加密保護通常是使用至少與傳輸的密鑰材料一樣強大的協定或演算法來完成的，但是也可以使用其他緩解措施，例如需要特殊的接近度。問題：透過遠端可存取的網路介面傳送關鍵安全參數時：1. 如何確保消費性物聯網設備保護這些參數的機密性？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,Assignment of verdict: PASS，因為使用的加密方式符合安全強度模組的要求，並持續檢查以應對潛在漏洞。
5.5-8,注意：對關鍵安全參數使用開放的、同儕審查的標準（通常稱為「金鑰管理」）受到強烈鼓勵。問題：當關鍵安全參數與設備相關時：1. 製造商是否遵循安全管理流程？如何管理關鍵安全參數（用於金鑰管理，例如金鑰交換、金鑰儲存和金鑰使用）？,"按照D-Link的秘鑰管理流程生成、存儲和傳輸安全參數。 安全參數隨機生成后，寫入到設備中，同時自動同步到伺服器，操作人員不感知密碼，與設備硬體參數進行哈希後才會用於認證和加解密。當產品EOL之後, 我們會從git server移除相關的key, 並且將他們離線存放",判決分配：根據描述的控制機制是否滿足職責分離、需要知曉和最小特權原則，判決為PASS或FAIL。
5.6-1,範例：預設情況下，無法從 WAN 存取應從 LAN 存取的管理 UI。注意：邏輯介面 (LIF) 是由 IP 位址組成的軟體實體，該 IP 位址與許多屬性（例如角色、主連接埠、防火牆策略、主節點、路由組和連接埠清單）相關聯。用於故障轉移目的。問題：1. 如何確保停用所有未使用的網路和邏輯介面？,"有一個 LAN 的乙太網路、2.4G 和 5G Wi-Fi 接口，需要在設備使用過程中運行，以根據設備的意圖使用提供互聯網訪問。

沒有其他接口沒有被使用過。",Assignment of verdict: 判定為PASS，因為所有未使用的介面確實被停用，符合安全控制機制的要求。
5.6-2,安全相關資訊可以在建立連接時由設備共享，並可用於識別易受攻擊的設備。範例：在整個 IP 位址空間中尋找易受攻擊的裝置時，安全相關資訊可以是有關裝置配置、核心版本或軟體版本的資訊。問題：當設備處於初始化狀態時：1. 設備的網路介面如何確保最大限度地減少未經身份驗證的安全相關資訊的洩漏？,"在初始化階段，在首次設定驗證之前，僅
1. mDNS僅包含用於APP設定引導和認證所需的資訊。",判定結果為 PASS，因為描述的權限控制機制符合職責分離、需求知情和最小權限的原則。
5.8-2,開展安全和資料保護影響評估可以幫助製造商做出適當的選擇。注意：「敏感個人資料」是指揭露後極有可能對個人造成傷害的資料。 被視為「敏感個人資料」的內容因裝置和用例而異：範例：家庭安全攝影機的視訊串流、支付資訊、通訊資料內容和帶時間戳記的位置資料。注意：此上下文中的關聯服務通常是雲端服務。 此外，這些服務受到製造商的控製或影響。 這些服務通常不由使用者操作。問題：應保護設備和相關服務之間傳輸的敏感個人資料的機密性：1. 在密碼學適合技術和用途的屬性的情況下，使用什麼密碼學？,"設備上不會保存任何個人隱私資料。
使用 TLS、HTTPS。
加密演算法包括：
AES、RSA、MD5、SHA256",判決分配：如果描述的特權控制機制能夠促進職責分離、需要知道和最小特權原則，則判決為通過（PASS）；否則為失敗（FAIL）。
5.8-3,範例：外部感測功能可以是光學或聲學感測器。（本文件第 6 條（消費者物聯網的資料保護條款）包含專門用於保護個人資料的條款。）問題：1. 如何確保設備的所有外部感測功能都以對使用者清晰透明的可存取方式記錄？,無外部感測能力,Assignment of verdict: 根據結果，該測試場景的評定為FAIL，理由是設備無外部感測能力，未能滿足透明記錄的要求。
5.11-1,注意：本文中的使用者資料是指儲存在物聯網裝置上的所有個人數據，包括個人資料、使用者配置和加密資料，例如使用者密碼或金鑰。問題：1. 如何提供消費者能夠以簡單的方式輕鬆從設備中刪除使用者資料的功能？,"對於設備本身的數據，可以透過以下步驟完成完整的資料擦除：
1. 硬體重設按鈕
2. APP的裝置移除按鈕
3. WebGUI的設備重置按鈕
對於雲端帳戶，可以透過給定的帳戶入口網站從 APP 下載或刪除資料。",Assignment of verdict: 如果以上功能正常運作，則判定為PASS；否則為FAIL。
5.13-1,透過不同類型的介面傳輸的格式不正確的資料或代碼可能會破壞系統。攻擊者或測試人員可以使用模糊器等自動化工具來利用由於不驗證資料而出現的潛在漏洞和弱點。範例：設備接收到的資料不是預期類型，例如可執行程式碼而不是使用者輸入的文字。 設備上的軟體已編寫為對輸入進行參數化或“轉義”，從而防止運行此程式碼。例如：溫度感測器接收到超出範圍的數據，而不是嘗試處理此輸入，而是識別出它超出了可能的範圍並被丟棄，並在遙測中捕獲事件。問題：1. 如何確保消費者物聯網設備軟體透過以下方法之一驗證資料輸入？A) 使用者介面。B) 透過應用程式介面 (API) 傳輸。C) 服務與設備中的網路之間,"本機Web管理介面和API將驗證輸入格式以防止注入。
韌體在開發過程中也進行了第三方黑盒測試，包括 API 注入測試。",判決分配：根據提供的信息，該測試場景的判決應為PASS，因為所有輸入都經過驗證以防止注入。  
6.1,許多消費者物聯網設備都會處理個人資料。 預計製造商將在消費性物聯網設備中提供支援保護此類個人資料的功能。問題：1. 製造商如何提供消費者清晰透明的個人資料資訊？A) 處理哪些個人資料？B) 如何使用個人資料？C) 個人資料被誰使用？D) 個人資料的使用目的是什麼？2. 如何確保每台設備都做到這一點？3. 如何確保每項服務都能做到這一點？4. 如果涉及第三方，包括廣告商，如何確保這一點？,設備本身並無存儲任何除了登入帳號或連線上網之外的任何資訊,根據提供的資訊，該測試組的判定結果是FAIL，因為設備未能存儲和處理個人資料的相關信息。
6.3,注意：消費者希望能夠透過適當配置物聯網設備和服務功能來保護自己的隱私。問題：1. 同意處理其個人資料的消費者如何隨時能撤回？ ,D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,根據提供的信息，該測試場景的判決為PASS，因為 D-Link 不會存儲個人隱私資料，符合隱私保護的要求。
