provision,status,support,detail,Test Scenario,answer,reason,result,解釋,criteria
5.3-10," MC(11, 12)",,於經由網路介面傳遞更新時，裝置應經由信任關係查證各更新之真確性及完整性。,"注意：有效的信任關係包括：經過驗證的通訊通道、存在於要求設備擁有關鍵安全參數或密碼才能加入的網路、基於數位簽章的更新驗證或使用者確認。
注意：信任關係的驗證對於確保未經授權的實體（例如裝置管理平台或裝置）無法安裝惡意程式碼至關重要。

問題：
如果實施更新機制並透過網路介面傳送更新：
1. 設備如何驗證每次更新的真實性和完整性？
2. 更新使用什麼信任關係？",D-Link 網站的所有通訊，包含firmware檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,設備應在網路傳遞更新時驗證其真實性和完整性。,The verdict PASS is assigned if:        • the DUT can verify the authenticity and integrity of the software update via the network interface.         The verdict FAIL is assigned otherwise.
5.3-11, RC(12),,製造者宜以可辨識且明顯之方式通知使用者，要求安全更新連同關於藉由該更新所減輕風險的資訊。,"問題：
如果實作更新機制：
1. 製造商是否以可辨識且明顯的方式告知使用者：
A) 需要安全性更新嗎？
B) 提供有關該更新減輕的風險的資訊？",firmware的更新通知並無區分此次更新是否為安全性更新，每一次更新的通知都是建議需要更新的。每一次更新都會有更新的內容(包含解決的風險問題以及增強的部分),,,製造商應以明顯的方式通知用戶關於安全更新的資訊。,The verdict PASS is assigned if:        • the notification to the user is recognizable and obvious and contains information about the risk mitigated by the update.         The verdict FAIL is assigned otherwise.
5.3-12,RC(12),,當套用軟體更新，將中斷裝置之基本功能時，裝置宜通知使用者。,"對於消費者而言，設備在更新期間繼續運作可能至關重要，這意味著建議在更新可能會破壞功能時通知使用者非常重要。
注意：如果通知是由關聯服務發出的，則不需要這樣做。
範例：在更新期間，手錶將繼續顯示時間，家用恆溫器將繼續保持合理的溫度，智慧鎖將繼續鎖定和解鎖門。

問題：
如果實作更新機制：
1. 當軟體更新的應用會擾亂設備的基本功能時，設備能否通知使用者？",GUI在更新期間會提示使用者將會重開機.,,,如果更新會中斷設備的基本功能，應通知用戶。,The verdict PASS is assigned if:        • the DUT provides a notification to the user when an update of software components interrupts the basic         functionality of the DUT.         The verdict FAIL is assigned otherwise.
5.3-13,M,,製造商應以對使用者易於理解、透明的方式公開定義的支援期限。,"消費者在購買設備時，希望能明確說明該期限的軟體更新支援。問題：
1. 客戶如何獲知定義的支援期？ 
用戶可以在哪裡找到這些資訊？",產品保固期間都根據當地國家法規要求訂定之，產品生命維護週期到時，會提前60天前公告在產品網頁上。,,,製造商應以透明的方式公開設備的支援期限。,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited technical knowledge.        The verdict FAIL is assigned otherwise.
5.3-14,"RC(3, 4)",,對無法更新其軟體之受限制裝置，製造者宜以對使用者清晰透通的可存取方式，公布未更新軟體之理由闡述、硬體更換支援的期間及方法，以及定義之支援期間。,"問題：
對於軟體元件不可更新的受限設備，製造商是否有清晰透明的例程向消費者發布以下內容：
1. 沒有軟體更新的原因是什麼？
2. 硬體更換支援的期限和方式？
3. 明確的支持期限？","N/A,The device is not a contrained device. 
",,,製造商應說明無法更新軟體的原因，並提供硬體更換的支援。,The verdict PASS is assigned if:         • the publication of the rationale for absence of updates and hardware replacement support is understandable and comprehensible for a user with limited technical knowledge.         The verdict FAIL is assigned otherwise.
5.3-15,"RC(3,4)",,對無法更新軟體之受限制裝置，產品宜為可隔離且硬體可更換。,"在某些情況下，設備無法修補。
注意：對於受限設備，需要製定更換計劃並明確傳達給消費者。
注意：該計劃通常會詳細說明何時需要更換技術以及何時結束對硬體和軟體的支援（如果適用）。

對於軟體元件不可更新的受限設備，以下內容如何適用：
1. 設備是否可隔離？
2. 硬體可以更換嗎？","N/A,The device is not a contrained device. 
",,,無法更新的設備應能被隔離，並且硬體應可更換。,The verdict PASS is assigned if:        • the product is designed to be isolated and the hardware is replaceable for the constrained devices that cannot be updated.        The verdict FAIL is assigned otherwise.
5.3-16,M,,消費者物聯網設備的型號名稱應通過設備上的標籤或通過實體介面清晰可識別。,問題：1. 使用者如何驗證設備型號名稱（透過設備上的標籤或透過實體介面）？,此產品的型號標籤上有相關的生產編號資訊。,,,設備應有清晰可識別的型號名稱。,The verdict PASS is assigned if:        • the model name of the consumer IoT device is clearly identifiable through labels on the device or through a physical interface.        The verdict FAIL is assigned otherwise.
5.4-1,M,,持久存儲中的敏感安全參數應由設備安全的存儲。,"安全、可信任的儲存機制可用於保護敏感的安全參數。注意：此規定適用於持久性儲存（在裝置電源關閉後保留資料的任何資料儲存裝置），但製造商也可以對記憶體中的敏感安全參數實施類似的方法。

問題：當設備有持久性儲存時：1. 設備如何確保敏感安全參數安全儲存？",所有關鍵機敏資訊都以AES 128 加密演算法處理存儲在機器的flash中。,,,敏感的安全參數要安全的持久性儲存,The verdict PASS is assigned if:        • the sensitive security parameters in persistent storage are stored securely.        The verdict FAIL is assigned otherwise.
5.4-2, MC(10),,對安全目的，於裝置中使用硬編碼唯一之每裝置識別資訊時，應以防止藉由實體、電氣或軟體等方式竄改的方式實作。,"問題：
如果出於安全目的使用硬編碼的每個設備唯一識別：
1. 身分如何實現以及如何實現以防止身分被竄改？
A. 設備如何抵抗物理、電氣或軟體等手段的篡改？",出廠預設密碼不是硬編碼的，因為它是出廠設定參數的一部分並且不是預先寫入程式碼中的。 即使工廠型號和韌體相同，此參數對於每台機器來說都是不同的硬編碼。這與 MAC 位址的原因相同。,,,設備中使用硬編碼嵌入的每裝置的獨特識別資訊如何防止被竄改。,"The verdict PASS is assigned if:        • the control measure 5.4-2 is implemented in a way that prevents modification of the unique per-device         identification information through physical, electrical or software means.         The verdict FAIL is assigned otherwise."
5.4-3,M,,關鍵安全參數不得硬編碼於使用設備軟體原始碼中。,設備和應用程式的逆向工程可以輕鬆發現憑證，例如軟體中硬編碼的使用者名稱和密碼。注意：此類憑證通常可以在原始程式碼中找到，這是眾所周知的不良做法。注意：也用於模糊或加密此硬編碼訊息的簡單混淆方法可能會被輕易破壞。這些憑證還可以是：- 允許在遠端服務中使用安全敏感功能的 API 金鑰，或者- 用於裝置通訊協定安全的私鑰。問題：1. 是否使用了軟體原始碼中硬編碼的關鍵安全參數？,D-Link 產品都會經過縝密的源碼安全檢查掃描，以確保沒有相關的 Hard-coded critical security parameters 在程式中,,,關鍵的安全參數不能硬編碼在設備軟體中。,"The verdict PASS is assigned if: • there is no indication that any critical security parameter hard-coded in device software source code is not documented as such; and • for all critical security parameter hard-coded in device software source code, the ""Provisioning Mechanism"" ensures that it is not used during the operation of the DUT. The verdict FAIL is assigned otherwise."
5.4-4,M,,用於軟體更新的完整性和真實性檢查，以及保護設備軟體中相關服務的通訊的任何關鍵安全參數應為每個設備獨有，並且應具有降低對設備類別進行自動攻擊風險的機制。,"為設備配置獨特的關鍵安全參數有助於保護軟體更新的完整性和真實性以及設備與相關服務的通訊。如果使用全球關鍵安全參數，其洩漏可能會導致對其他物聯網設備的大規模攻擊，例如建立殭屍網路。
範例：在同一裝置類別的每個裝置上部署不同的對稱金鑰，用於產生和驗證軟體更新的訊息認證碼。
範例：設備使用製造商的公鑰來驗證軟體更新。 這不是關鍵的安全參數，並且不需要每個設備都是唯一的。

問題：
對於設備中用於以下用途的任何關鍵安全參數：
- 軟體更新的完整性和真實性檢查
；- 保護與設備軟體中相關服務的通訊：
1. 這些關鍵安全參數是：
A) 每個設備都是唯一的？B) 採用可降低針對各類設備的自動攻擊風險的機制進行生產？","D-Link Cloud 管理通訊使用每個設備唯一的設備證書，在設定過程中進行配置。
管理和設定通道始終透過 TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3。
伺服器證書還可以透過設備的嵌入式證書頒發機構文件進行驗證。",,,用於軟體更新和通訊的安全參數應是每台設備獨特的。,The verdict PASS is assigned if:        • integrity and authenticity checking for software updates and protecting any key security parameter in the         device software related to the services are unique for each device and have mechanisms to reduce the risk of         automatic attacks against the device class.         The verdict FAIL is assigned otherwise.
5.5-1,M,,消費者物聯網設備應使用最佳實踐加密技術進行安全通訊。,安全控制的適當性和最佳實踐加密的使用取決於許多因素，包括使用情境。注意：由於安全性不斷發展，很難提供有關密碼學或其他安全措施的規範性建議，而不會面臨此類建議很快就會過時的風險。問題：1. 消費者物聯網設備使用什麼最佳實踐加密技術來安全通訊？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,設備應使用最佳的加密技術進行安全通訊。,The verdict PASS is assigned if:        • all communication mechanisms used for communicating critical security parameters provide appropriate security guarantees for the use case of communicating critical security parameters; and        • all used cryptographic details are considered as best practice for the use case; and        • all used cryptographic details are not known to be vulnerable to a feasible attack.        The verdict FAIL is assigned otherwise.
5.5-2,R,,消費者 IoT 裝置宜使用經審查或經評估之實作，交付網路功能性及安全功能性，特別是密碼學領域。,"例如：開發和測試社群內的分散式軟體庫、經過認證的軟體模組以及硬體設備加密服務提供者都經過審查或評估。

問題：
1. 消費者物聯網設備是否使用經過審查或評估的實施來提供網路和安全功能？
A）特別是在密碼學領域？",D-Link產品使用的加密套件都是目前安全無漏洞的版本，並隨時按照相關漏洞的發佈，需要時即時換版更新加密套件。,,,設備應使用經過審查或評估的加密技術。,"The verdict PASS is assigned if:        • the consumer IoT device uses audited or evaluated implementations for network functionality and security functionality, particularly in the cryptographic domain.        The verdict FAIL is assigned otherwise."
5.5-3,R,,密碼演算法及基元宜為可更新。,"對於無法更新的設備，重要的是設備的預期壽命不超過設備使用的加密演算法的建議使用壽命（包括金鑰大小）。
注意：這也稱為“加密敏捷性”。

問題：
1. 密碼演算法和原語是否可以更新？",D-Link產品使用的加密套件都是目前安全無漏洞的版本，並隨時按照相關漏洞的發佈，需要時即時換版更新加密套件。,,,加密演算法應可更新。,The verdict PASS is assigned if:        • for every software component indicating cryptographic usage an update mechanism is referenced; and        • side effects of updating those algorithms and primitives are considered by the manufacturer.        The verdict FAIL is assigned otherwise.
5.5-4,R,,宜僅於鑑別介面後，方可經由網路介面於初始化狀態存取裝置功能性。,"注意：設備可能會因網路服務中的漏洞而受到損害。合適的身份驗證機制可以防止未經授權的訪問，並有助於設備的縱深防禦。

問題：
對於處於初始化狀態的網路介面：
1. 是否確保只有在該介面上進行身份驗證後才能透過該介面存取設備功能？","措施：
裝置初始狀態下，登入管理介面的唯一方式是使用裝置背面貼圖上的預設密碼。登入後，您將被迫按照步驟開始設定裝置的連線資訊並變更預設登入密碼。
預設情況下，WAN 遠端管理也處於停用狀態。
其他未定義的服務連接埠均關閉，機器的實體網口（LAN）僅是預設功能，可透過DHCP連接，即使初始化尚未完成。",,,只有在通過身份驗證後才能存取設備功能。,The verdict PASS is assigned if:        • at least one authentication mechanism is referenced for every device functionality accessible via network interface in the initialized state; and        • every authentication mechanism allows to discriminate between multiple authentication subjects and to reject authentication attempts based on invalid identities and/or authentication factors; and        • the means used to protect an authentication mechanism provide the expected security guarantees and are resistant at attempts to compromise the mechanism; and        • every authorization mechanism allows access to authenticated subjects with proper access rights; and        • every authorization mechanism denies access to authenticated subjects with inadequate access rights and to unauthenticated subjects.        The verdict FAIL is assigned otherwise.
5.5-5,M,,設備功能只有在認證存取之後允許透過網路介面進行配置安全相關修改。例外情況是設備所依賴的網路服務協定，製造商無法保證設備運行所需的配置。,注意：例外的協定包括 ARP、DHCP、DNS、ICMP 和 NTP。範例：與安全性相關的變更包括權限管理、網路金鑰配置和密碼變更。規定例外：設備所依賴的網路服務協定除外，製造商無法保證設備運作需要什麼配置。問題：當規定例外情況不適用時：當設備功能允許透過網路介面對組態進行與安全相關的變更時：A) 如何確保只有在驗證後才能存取設備功能？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,只有在認證後才能通過網路修改設備的安全設置，除非設備依賴的協定無法保證運行所需配置。,The verdict PASS is assigned if:        • the device functionality allowing security-relevant changes is accessible only after authentication.         The verdict FAIL is assigned otherwise.
5.5-6,R,,傳輸中之關鍵安全參數宜以適切的技術、風險及使用性質之方式加密。,"此要求主要適用於：
- 設備製造商、物聯網服務供應商、行動應用程式開發商。
關鍵安全參數：
- 安全敏感數據，包括任何遠端管理和控制。
注意：強烈鼓勵使用開放的、經過同儕審查的網路標準。
範例：Blowfish、AES、RC4、DES、RC5 和 RC6 是對稱加密的範例。最廣泛使用的對稱演算法是 AES-128、AES-192 和 AES-256。
範例：流行的非對稱金鑰加密演算法包括 EIGamal、RSA、DSA、橢圓曲線技術、PKCS。
範例：SSL/TLS 同時使用非對稱和對稱加密，快速查看由受信任的憑證授權單位 (CA) 頒發的數位簽章 SSL 憑證。

問題：
如果關鍵安全參數在傳輸過程中被加密（在傳輸網路時）：
1. 加密是否適合技術、風險和用途的特性？","1. 本機身分驗證透過 HMAC-SHA256 Challenge 使用使用者設定的密碼完成。透過 HTTPs TLS v1.2 或更新的連線保護通道，cipher  套件符合 FIPS 14--3
2. 雲端管理通訊也透過 TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3。 設備與雲端之間透過設備證書進行身份驗證。 」",,,傳輸中的關鍵安全參數應加密。,"The verdict PASS is assigned if: • the transmission of security parameters is encrypted in a way that is appropriate for the technical, risk and usage context. The verdict FAIL is assigned otherwise."
